path,dir,ext,size,description
docs/STAGE6_ATTRIBUTION_EXPERIMENT_DESIGN_20260413.md,docs,.md,2010,Markdown 文档，主题为“Stage6 归因拆分实验设计（2026-04-13）”。内容用于说明项目结构、实验方法、结果报告或后续工作记录。
docs/RESULTS_CLEANUP_SUGGESTIONS_20260407.md,docs,.md,4042,Markdown 文档，主题为“Results Cleanup Suggestions (2026-04-07)”。内容用于说明项目结构、实验方法、结果报告或后续工作记录。
docs/PROJECT_WORKSPACE_MAP_20260421.md,docs,.md,10247,Markdown 文档，主题为“GridAgent1 工作区整理图谱”。内容用于说明项目结构、实验方法、结果报告或后续工作记录。
docs/PROJECT_TREE_FULL.txt,docs,.txt,8148,文本/日志文件，开头内容为“Folder PATH listing for volume Windows-SSD”。它记录运行输出、临时摘录或辅助分析内容。
docs/PROJECT_STRUCTURE.md,docs,.md,17698,Markdown 文档，主题为“Project Structure (Cleaned)”。内容用于说明项目结构、实验方法、结果报告或后续工作记录。
docs/PROJECT_FULL_SUMMARY_FOR_AI.md,docs,.md,19013,Markdown 文档，主题为“GridAgent1 项目全量上下文说明（供 GPT/AI 读取）”。内容用于说明项目结构、实验方法、结果报告或后续工作记录。
docs/PROJECT_FILE_ONE_LINE_CATALOG_20260427.csv,docs,.csv,2393820,"表格数据文件，包含 约 5273 行数据。表头字段包括 relative_path, folder, file_name, extension, size_bytes, modified, one_line_summary。"
docs/PROJECT_FILE_CATALOG_20260407.md,docs,.md,247175,Markdown 文档，主题为“Project File Catalog (Auto-Generated)”。内容用于说明项目结构、实验方法、结果报告或后续工作记录。
docs/PROJECT_CORE_INDEX_20260407.md,docs,.md,7293,Markdown 文档，主题为“Project Core Index (Code/Config/Docs Only)”。内容用于说明项目结构、实验方法、结果报告或后续工作记录。
docs/PROJECT_CONTENT_MANIFEST_20260421.csv,docs,.csv,934717,"表格数据文件，包含 约 5984 行数据。表头字段包括 path, type, size_bytes, last_write_time。"
docs/PROJECT_CONTENT_INDEX_20260421.md,docs,.md,7638,Markdown 文档，主题为“Project Content Index”。内容用于说明项目结构、实验方法、结果报告或后续工作记录。
docs/pipeline_chain_catalog_formal2024.md,docs,.md,2435,Markdown 文档，主题为“formal2024 完整链路清单（24条）”。内容用于说明项目结构、实验方法、结果报告或后续工作记录。
docs/pipeline_chain_catalog_formal2024.csv,docs,.csv,1520,"表格数据文件，包含 约 24 行数据。表头字段包括 chain_id, failure_model, contingency_method, reserve_ratio, n_scenarios_edge, n_scenarios_cloud, run_tag_pattern。"
docs/paper745.txt,docs,.txt,100020,文献或论文摘录文本，开头内容为“===== PAGE 1 =====”。它为项目算法设计和论文写作提供参考材料。
docs/METAPATH_TUNE12_REPORT_20260407.md,docs,.md,3058,Markdown 文档，主题为“MetaPath Sweep Report (12 Runs)”。内容用于说明项目结构、实验方法、结果报告或后续工作记录。
docs/IEEE60_Node_Weather_Source.md,docs,.md,2011,Markdown 文档，主题为“IEEE60 节点天气数据来源说明”。内容用于说明项目结构、实验方法、结果报告或后续工作记录。
docs/GridAgent_Visualization_User_Guide.md,docs,.md,18495,Markdown 文档，主题为“GridAgent1 可视化页面详细介绍（新手版）”。内容用于说明项目结构、实验方法、结果报告或后续工作记录。
docs/GridAgent_PaperStyle_Overview_Formal2024.md,docs,.md,13790,Markdown 文档，主题为“GridAgent 项目论文式说明（面向非本项目读者）”。内容用于说明项目结构、实验方法、结果报告或后续工作记录。
docs/GridAgent_Formal2024_Complete_Paper.md,docs,.md,31583,Markdown 文档，主题为“GridAgent: 面向极端天气的风光不确定性驱动电网韧性评估与调度框架”。内容用于说明项目结构、实验方法、结果报告或后续工作记录。
docs/GPT_PROJECT_GUIDE_20260413.md,docs,.md,16942,Markdown 文档，主题为“GridAgent1 项目说明书（GPT 专用，2026-04-13）”。内容用于说明项目结构、实验方法、结果报告或后续工作记录。
docs/formal2024_fullrun_results_report.md,docs,.md,5275,Markdown 文档，主题为“GridAgent `formal2024` 全量实验结果报告（Baseline）”。内容用于说明项目结构、实验方法、结果报告或后续工作记录。
docs/DELIVERY_UNNEEDED_FILE_CANDIDATES_20260427.csv,docs,.csv,2653239,"表格数据文件，包含 约 4857 行数据。表头字段包括 relative_path, folder, file_name, extension, size_bytes, modified, one_line_summary, remove_reason。"
docs/DATASET_PIPELINE.md,docs,.md,3578,Markdown 文档，主题为“风光 + 气象 + 负荷 + 配网数据集流水线”。内容用于说明项目结构、实验方法、结果报告或后续工作记录。
docs/CLEANUP_LOG.md,docs,.md,1656,Markdown 文档，主题为“Cleanup Log”。内容用于说明项目结构、实验方法、结果报告或后续工作记录。
dashboard/__pycache__/gridagent_dashboard.cpython-311.pyc,dashboard,.pyc,194694,Python 字节码缓存文件，由解释器从同名源码自动生成。它不包含手写业务逻辑，主要用于加速导入，可由源码重新生成。
scripts/__pycache__/steady_state_physics_module.cpython-311.pyc,scripts,.pyc,74164,Python 字节码缓存文件，由解释器从同名源码自动生成。它不包含手写业务逻辑，主要用于加速导入，可由源码重新生成。
scripts/__pycache__/spatiotemporal_contingency_generator.cpython-311.pyc,scripts,.pyc,29760,Python 字节码缓存文件，由解释器从同名源码自动生成。它不包含手写业务逻辑，主要用于加速导入，可由源码重新生成。
scripts/__pycache__/run_warning_scale_experiments.cpython-311.pyc,scripts,.pyc,29132,Python 字节码缓存文件，由解释器从同名源码自动生成。它不包含手写业务逻辑，主要用于加速导入，可由源码重新生成。
scripts/__pycache__/run_stage6_attribution_experiment.cpython-311.pyc,scripts,.pyc,48570,Python 字节码缓存文件，由解释器从同名源码自动生成。它不包含手写业务逻辑，主要用于加速导入，可由源码重新生成。
scripts/__pycache__/run_paper_comparison_experiment.cpython-311.pyc,scripts,.pyc,22938,Python 字节码缓存文件，由解释器从同名源码自动生成。它不包含手写业务逻辑，主要用于加速导入，可由源码重新生成。
scripts/__pycache__/gridagent_framework.cpython-311.pyc,scripts,.pyc,64610,Python 字节码缓存文件，由解释器从同名源码自动生成。它不包含手写业务逻辑，主要用于加速导入，可由源码重新生成。
scripts/__pycache__/gnn_warning_module.cpython-311.pyc,scripts,.pyc,117297,Python 字节码缓存文件，由解释器从同名源码自动生成。它不包含手写业务逻辑，主要用于加速导入，可由源码重新生成。
scripts/__pycache__/generate_scaled_topology.cpython-311.pyc,scripts,.pyc,16981,Python 字节码缓存文件，由解释器从同名源码自动生成。它不包含手写业务逻辑，主要用于加速导入，可由源码重新生成。
scripts/__pycache__/export_standard_results.cpython-311.pyc,scripts,.pyc,13177,Python 字节码缓存文件，由解释器从同名源码自动生成。它不包含手写业务逻辑，主要用于加速导入，可由源码重新生成。
scripts/__pycache__/dispatch_optimization_module.cpython-311.pyc,scripts,.pyc,122953,Python 字节码缓存文件，由解释器从同名源码自动生成。它不包含手写业务逻辑，主要用于加速导入，可由源码重新生成。
scripts/__pycache__/build_ieee_subgrid.cpython-311.pyc,scripts,.pyc,22909,Python 字节码缓存文件，由解释器从同名源码自动生成。它不包含手写业务逻辑，主要用于加速导入，可由源码重新生成。
scripts/wind_pv_uncertainty_modeling.py,scripts,.py,14402,"Python 源码文件，属于项目的算法、实验或可视化实现。 主要定义类 DatasetSpec, RollingDPGMM；函数 project_root, default_dataset_specs, sanitize_name, infer_wind_pv_columns, load_wind_pv_series, reduce_scenarios_kmeans, weighted_stats, evaluate_uncertainty_model 等。"
scripts/steady_state_physics_module.py,scripts,.py,58284,"Python 源码文件，属于项目的算法、实验或可视化实现。 主要定义函数 parse_args, _load_required_csv, _to_num, add_violation, validate_load_shedding, validate_unit_schedule, validate_line_flow, apply_load_correction 等。"
scripts/stage1_method_comparison.py,scripts,.py,33043,"模块说明：Stage1 不确定性建模方法对比实验 比较 DPGMM vs ARIMA vs LSTM vs Copula 参考文献: - ARIMA: Morales et al., 2014 - ""Integrating renewables in power systems"" - LSTM: Chen et al., 2020 - ""A review on deep learning for renewable energy forecast。 主要定义类 DatasetSpec, RollingDPGMM, ARIMAUncertaintyModel, LSTMPredictor, LSTMUncertaintyModel, GaussianCopulaUncertaintyModel；函数 project_root, default_dataset_specs, infer_wind_pv_columns, load_wind_pv_series, reduce_scenarios_kmeans, evaluate_model, save_outputs, run_method_comparison 等。"
scripts/stage123_method_comparison.py,scripts,.py,18950,"模块说明：Stage1-3 Method Comparison Experiment ===================================== Layer 4: Method Comparison for GridAgent Framework Stage1: Uncertainty Modeling - DPGMM vs ARIMA vs LSTM vs Copula Stage2: Failure Probability -。 主要定义函数 project_root, ensure_dir, run_shell_cmd, run_stage1_comparison, run_stage2_comparison, run_stage3_comparison, main。"
scripts/spatiotemporal_contingency_generator.py,scripts,.py,19159,"Python 源码文件，属于项目的算法、实验或可视化实现。 主要定义类 FailureInput；函数 project_root, parse_optional_float, load_failure_input, load_grid_roles, sobol_uniforms, wang_stateful_contingency, c3po_reference_contingency, trim_reference_contingency 等。"
scripts/run_warning_scale_experiments.py,scripts,.py,18302,"Python 源码文件，属于项目的算法、实验或可视化实现。 主要定义函数 project_root, parse_int_list, parse_float_list, run_cmd, can_import_warning_deps, pick_python_exe, safe_json, pick_metric 等。"
scripts/run_stage6_planA_experiment.py,scripts,.py,16747,"Python 源码文件，属于项目的算法、实验或可视化实现。 主要定义类 PlanACase；函数 project_root, parse_int_list, parse_args, pick_python_exe, build_cases, run_cmd, safe_json, model_metrics_from_report 等。"
scripts/run_stage6_attribution_experiment.py,scripts,.py,33093,"Python 源码文件，属于项目的算法、实验或可视化实现。 主要定义类 RunCase；函数 project_root, parse_int_list, str2bool, safe_json, can_import_warning_deps, pick_python_exe, parse_args, build_cases 等。"
scripts/run_paper_comparison_experiment.py,scripts,.py,14526,"Python 源码文件，属于项目的算法、实验或可视化实现。 主要定义函数 project_root, run_cmd, read_json, ewm_topsis, parse_args, build_uniform_priority_csv, run_dispatch_with_profile, pick_row 等。"
scripts/run_end_to_end_resilience.py,scripts,.py,7035,"Python 源码文件，属于项目的算法、实验或可视化实现。 主要定义函数 project_root, run_cmd, parse_args, main。"
scripts/prepare_formal_sources.py,scripts,.py,11509,"Python 源码文件，属于项目的算法、实验或可视化实现。 主要定义函数 load_config, build_time_index, to_plain_timestamp_strings, align_source_to_target_length, build_load_csv, map_sgen_type, parse_geo_point, local_xy_to_latlon 等。"
scripts/multi_criteria_resilience_assessment.py,scripts,.py,8795,"Python 源码文件，属于项目的算法、实验或可视化实现。 主要定义函数 project_root, ensure_columns, calc_priority_indicator, calc_robustness_indicator, calc_time_series_indicators, minmax_forward, ewm_topsis, parse_args 等。"
scripts/multiscenario_fusion_run.py,scripts,.py,27535,"Python 源码文件，属于项目的算法、实验或可视化实现。 主要定义函数 project_root, resolve_path, run_cmd, format_progress, maybe_run, calc_rapidity_sustainability, ewm_topsis, load_failure_p_line 等。"
scripts/multiscenario_fusion_experiment.py,scripts,.py,17511,"Python 源码文件，属于项目的算法、实验或可视化实现。 主要定义类 WindPVVariant, LoadScenario；函数 project_root, resolve_path, read_json, sanitize_name, parse_args, ensure_uncertainty_base, prepare_wind_pv_variants, prepare_load_scenarios 等。"
scripts/module_sensitivity_analysis.py,scripts,.py,14374,"Python 源码文件，属于项目的算法、实验或可视化实现。 主要定义函数 project_root, run_cmd, ewm_topsis, calc_rapidity_sustainability, influence_weights, parse_args, main。"
scripts/load_prioritization_scheduling.py,scripts,.py,30083,"Python 源码文件，属于项目的算法、实验或可视化实现。 主要定义类 DispatchableGenerator, ScenarioInputs；函数 project_root, parse_optional_float, parse_capacity_list, load_grid, load_contingencies, derive_load_priorities, build_load_demands, build_renewable_profiles 等。"
paper/paper_experiment_en/experiment_section.md,paper,.md,17647,Markdown 文档，主题为“GridAgent: A Graph-Enhanced Uncertainty-Aware Dispatch Framework for Typhoon-Resilient Power Systems”。内容用于说明项目结构、实验方法、结果报告或后续工作记录。
data_final/formal_guangdong_2024/TRIM_input.csv,data_final,.csv,1079145,"表格数据文件，包含 约 8784 行数据。表头字段包括 timestamp, wind_renewables_ninja_wind_electricity, pv_renewables_ninja_pv_electricity, load_load_load_region1, load_load_load_region2, pv_renewables_ninja_pv_irradiance_direct, pv_renewables_ninja_pv_irradiance_diffuse, pv_renewables_ninja_pv_temperature, wind_renewables_ninja_wind_wind_speed, HourOfDay 等。"
data_final/formal_guangdong_2024/integrity_report.json,data_final,.json,1057,"实验报告或运行清单 JSON 文件，顶层字段包括 expected_rows, time_start, time_end, wind, pv, load, weather, grid, length_consistent, grid_complete, content_complete, dataset_ready。它为对应流程提供参数、拓扑结构或结构化指标。"
data_final/formal_guangdong_2024/grid_topology.json,data_final,.json,9443,"电网拓扑 JSON 文件，顶层字段包括 nodes, lines, generators, source, geo_reference。它为对应流程提供参数、拓扑结构或结构化指标。"
data_final/formal_guangdong_2024/DPGMM_input.csv,data_final,.csv,278546,"表格数据文件，包含 约 8784 行数据。表头字段包括 wind_renewables_ninja_wind_electricity, pv_renewables_ninja_pv_electricity。"
data_final/formal_guangdong_2024/aligned_merged.csv,data_final,.csv,687359,"表格数据文件，包含 约 8784 行数据。表头字段包括 timestamp, wind_renewables_ninja_wind_electricity, pv_renewables_ninja_pv_electricity, load_load_load_region1, load_load_load_region2, pv_renewables_ninja_pv_irradiance_direct, pv_renewables_ninja_pv_irradiance_diffuse, pv_renewables_ninja_pv_temperature, wind_renewables_ninja_wind_wind_speed。"
data_final/DPGMM_input.csv,data_final,.csv,616072,"表格数据文件，包含 约 8784 行数据。表头字段包括 wind_wind_demo_wind_1mw, wind_wind_demo_wind_2mw, pv_pv_demo_pv_1mw, pv_pv_demo_pv_2mw。"
data_final/aligned_merged.csv,data_final,.csv,1516201,"表格数据文件，包含 约 8784 行数据。表头字段包括 timestamp, wind_wind_demo_wind_1mw, wind_wind_demo_wind_2mw, pv_pv_demo_pv_1mw, pv_pv_demo_pv_2mw, load_load_demo_load_node_1, load_load_demo_load_node_2, weather_weather_demo_temperature_c, weather_weather_demo_wind_speed_ms, weather_weather_demo_irradiance_wm2。"
results/dpgmn_method_extracted.txt,results,.txt,66458,文献或论文摘录文本，开头内容为“PAGES=13”。它为项目算法设计和论文写作提供参考材料。
data_final/ieee118_n60/grid_topology.json,data_final,.json,51694,"电网拓扑 JSON 文件，顶层字段包括 nodes, lines, generators, source, geo_reference。它为对应流程提供参数、拓扑结构或结构化指标。"
data_final/integrity_report.json,data_final,.json,999,"实验报告或运行清单 JSON 文件，顶层字段包括 expected_rows, time_start, time_end, wind, pv, load, weather, grid, length_consistent, grid_complete。它为对应流程提供参数、拓扑结构或结构化指标。"
scripts/legacy/typhoon_grid_resilience_demo.py,scripts,.py,33506,"模块说明：论文《Electronics 2024, 13, 745》方法链路的简化可运行复现代码。 核心复现环节： 1) 台风参数风场模型（Batts / Schloemer / Jelesnianski-II / Holland） 2) 边界层与阵风修正 3) 滚动 DPGMM（BayesianGaussianMixture 近似） 4) 应力-强度干涉失效概率 5) 时序故障集（准蒙特卡洛） 6) MATPOWER OPF 负荷切除 + R1。 主要定义类 TyphoonState, LineAsset, LoadNode, RollingDPGMM；函数 estimate_rmax_km, latlon_delta_km, _circular_vector_with_inflow, _moving_vector, batts_model_components, schloemer_model_components, jelesnianski_model_components, holland_model_components 等。"
scripts/legacy/run_matpower_resilience_batch.m,scripts,.m,6646,"MATLAB 脚本文件，开头内容为“function run_matpower_resilience_batch(input_mat, output_mat)”。它是旧版 MATPOWER/韧性批处理流程的遗留实现。"
scripts/gridagent_framework.py,scripts,.py,51350,"Python 源码文件，属于项目的算法、实验或可视化实现。 主要定义函数 project_root, resolve_path, run_cmd, maybe_run, calc_rapidity_sustainability, ewm_topsis, evaluate_candidate_run, score_candidates 等。"
scripts/gnn_warning_module.py,scripts,.py,80471,"Python 源码文件，属于项目的算法、实验或可视化实现。 主要定义类 WarningDataset, GraphMessageLayer, LineRiskGNN, MetaPathSemanticBlock, LineRiskMetaPathGNN；函数 project_root, parse_optional_float, minmax_scale, minmax_scale_global, find_column, load_grid_topology, load_failure_features, load_contingency_labels 等。"
results/resilience/topsis_ranking.csv,results,.csv,133,"表格数据文件，包含 约 3 行数据。表头字段包括 policy, score, rank。"
paper/paper_experiment_ch/experiment_section_cn.md,paper,.md,16540,Markdown 文档，主题为“GridAgent：面向台风弹性电网的图增强不确定性感知调度框架”。内容用于说明项目结构、实验方法、结果报告或后续工作记录。
results/resilience/resilience_metrics.csv,results,.csv,345,"表格数据文件，包含 约 3 行数据。表头字段包括 policy, Priority, Robustness, Rapidity, Sustainability。"
results/pending_work.md,results,.md,832,Markdown 文档，主题为“Pending Work Notes”。内容用于说明项目结构、实验方法、结果报告或后续工作记录。
data_final/scaled/g60_n75/grid_topology.json,data_final,.json,42805,"电网拓扑 JSON 文件，顶层字段包括 nodes, lines, generators, source, geo_reference。它为对应流程提供参数、拓扑结构或结构化指标。"
data_final/ieee118_full/grid_topology.json,data_final,.json,103215,"电网拓扑 JSON 文件，顶层字段包括 nodes, lines, generators, source, geo_reference。它为对应流程提供参数、拓扑结构或结构化指标。"
results/summary/indicator_table.csv,results,.csv,418,"表格数据文件，包含 约 3 行数据。表头字段包括 policy, Priority, Robustness, Rapidity, Sustainability, TOPSIS_Score, TOPSIS_Rank。"
results/summary/experiment_summary.json,results,.json,876,"实验报告或运行清单 JSON 文件，顶层字段包括 framework, mode, run_root, timestamp, selected_chain, best_candidate, standard_outputs。它为对应流程提供参数、拓扑结构或结构化指标。"
results/scenario/wind_solar_scenarios.csv,results,.csv,1113,"场景生成或故障情景数据，包含 约 6 行数据。表头字段包括 timestamp, wind_s0, wind_s1, wind_s2, wind_s3, solar_s0, solar_s1, solar_s2, solar_s3。"
results/scenario/contingency_scenarios.csv,results,.csv,23537,"场景生成或故障情景数据，包含 约 384 行数据。表头字段包括 scenario, scenario_id, timestamp, failed_lines, outage_line_count, disconnected_load_count, probability, method。"
results/scenario/component_failure_prob.csv,results,.csv,3722,"故障概率相关数据，包含 约 90 行数据。表头字段包括 line, hour, failure_prob。"
results/timepoint_snapshots_formal2024_20240901_0000_1700/timepoint_snapshot_summary.json,results,.json,1382,JSON 数组文件，包含 2 个顶层元素。内容用于保存结构化记录或列表型实验产物。
results/timepoint_snapshots_formal2024_20240901_0000_1700/timepoint_snapshot_summary.csv,results,.csv,818,"汇总统计数据，包含 约 2 行数据。表头字段包括 timestamp, selected_strategy, hourly_line_risk, hourly_uncertainty, top3_hourly_line_risk, total_generation_mw, reserve_up_mw, total_load_shedding_mw, shedding_node_count, overload_line_count 等。"
results/timepoint_snapshots_formal2024_20240901_0000_1700/README.md,results,.md,802,Markdown 文档，主题为“Formal2024 两个时刻快照输出”。内容用于说明项目结构、实验方法、结果报告或后续工作记录。
scripts/gnn_models/__pycache__/__init__.cpython-311.pyc,scripts,.pyc,1779,Python 字节码缓存文件，由解释器从同名源码自动生成。它不包含手写业务逻辑，主要用于加速导入，可由源码重新生成。
scripts/gnn_models/__pycache__/stgcn.cpython-311.pyc,scripts,.pyc,12534,Python 字节码缓存文件，由解释器从同名源码自动生成。它不包含手写业务逻辑，主要用于加速导入，可由源码重新生成。
scripts/gnn_models/__pycache__/mlp.cpython-311.pyc,scripts,.pyc,4555,Python 字节码缓存文件，由解释器从同名源码自动生成。它不包含手写业务逻辑，主要用于加速导入，可由源码重新生成。
scripts/gnn_models/__pycache__/metapath_v1.cpython-311.pyc,scripts,.pyc,12938,Python 字节码缓存文件，由解释器从同名源码自动生成。它不包含手写业务逻辑，主要用于加速导入，可由源码重新生成。
scripts/gnn_models/__pycache__/graphsage.cpython-311.pyc,scripts,.pyc,7920,Python 字节码缓存文件，由解释器从同名源码自动生成。它不包含手写业务逻辑，主要用于加速导入，可由源码重新生成。
scripts/gnn_models/__pycache__/gcn.cpython-311.pyc,scripts,.pyc,6172,Python 字节码缓存文件，由解释器从同名源码自动生成。它不包含手写业务逻辑，主要用于加速导入，可由源码重新生成。
scripts/gnn_models/__pycache__/gat.cpython-311.pyc,scripts,.pyc,8822,Python 字节码缓存文件，由解释器从同名源码自动生成。它不包含手写业务逻辑，主要用于加速导入，可由源码重新生成。
scripts/gnn_models/__pycache__/base_model.cpython-311.pyc,scripts,.pyc,3705,Python 字节码缓存文件，由解释器从同名源码自动生成。它不包含手写业务逻辑，主要用于加速导入，可由源码重新生成。
scripts/gnn_models/__pycache__/baseline_gnn.cpython-311.pyc,scripts,.pyc,6673,Python 字节码缓存文件，由解释器从同名源码自动生成。它不包含手写业务逻辑，主要用于加速导入，可由源码重新生成。
scripts/gnn_models/__init__.py,scripts,.py,1633,"模块说明：GNN Models Package for Grid Risk Prediction ========================================== This package contains modular GNN model implementations for comparison experiments. Each model is in a separate file for easy mainten。 主要依赖 base_model, baseline_gnn, gat, gcn, graphsage, metapath_v1, mlp, stgcn，多为脚本式流程入口。"
scripts/gnn_models/stgcn.py,scripts,.py,7814,"模块说明：STGCN: Spatio-Temporal Graph Convolutional Networks ==================================================== Reference: Yu et al. (2018) Spatio-temporal graph convolutional networks: A deep learning framework for traffic for。 主要定义类 TemporalConvLayer, SpatialGraphConv, SpatioTemporalBlock, STGCNModel。"
scripts/gnn_models/mlp.py,scripts,.py,2711,模块说明：MLP: Multi-Layer Perceptron Baseline ==================================== Reference: Standard feedforward neural network This is a no-graph baseline that only uses edge features (no graph structure). Used as a baseline t。 主要定义类 MLPModel。
scripts/gnn_models/metapath_v1.py,scripts,.py,9258,"模块说明：MetaPath V1: Fixed Metapath + Semantic Attention + Residual Gating =================================================================== The proposed model with electrical topology-aware structural semantic enhancement. Co。 主要定义类 GraphMessageLayer, MetaPathSemanticBlock, MetaPathV1Model。"
scripts/gnn_models/graphsage.py,scripts,.py,5045,"模块说明：GraphSAGE: Graph Sample and Aggregate ======================================= Reference: Hamilton et al. (2017) Inductive representation learning on large graphs. NeurIPS. Core Formula: h_N(v) = AGG({h_u, ∀u ∈ N(v)}) h_v。 主要定义类 GraphSAGEModel。"
