env_id,intensity_idx,wind_idx,load_idx,intensity_scale,wind_variant,wind_scale,pv_scale,uncertainty_dir,load_scenario,demand_scale,priority_stress_factor,trim_input
ENV_0026,1,1,1,1.0,low_wind_low_pv,0.7,0.7,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\wind_pv_variants\low_wind_low_pv,peak_plus_15pct,1.15,1.0,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\load_scenarios\peak_plus_15pct\TRIM_input.csv
ENV_0027,1,1,2,1.0,low_wind_low_pv,0.7,0.7,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\wind_pv_variants\low_wind_low_pv,extreme_plus_30pct,1.3,1.0,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\load_scenarios\extreme_plus_30pct\TRIM_input.csv
ENV_0028,1,1,3,1.0,low_wind_low_pv,0.7,0.7,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\wind_pv_variants\low_wind_low_pv,critical_stress,1.1,1.4,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\load_scenarios\critical_stress\TRIM_input.csv
ENV_0029,1,2,0,1.0,low_wind_high_pv,0.7,1.3,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\wind_pv_variants\low_wind_high_pv,base,1.0,1.0,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\load_scenarios\base\TRIM_input.csv
ENV_0030,1,2,1,1.0,low_wind_high_pv,0.7,1.3,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\wind_pv_variants\low_wind_high_pv,peak_plus_15pct,1.15,1.0,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\load_scenarios\peak_plus_15pct\TRIM_input.csv
ENV_0031,1,2,2,1.0,low_wind_high_pv,0.7,1.3,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\wind_pv_variants\low_wind_high_pv,extreme_plus_30pct,1.3,1.0,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\load_scenarios\extreme_plus_30pct\TRIM_input.csv
ENV_0032,1,2,3,1.0,low_wind_high_pv,0.7,1.3,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\wind_pv_variants\low_wind_high_pv,critical_stress,1.1,1.4,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\load_scenarios\critical_stress\TRIM_input.csv
ENV_0033,1,3,0,1.0,high_wind_low_pv,1.3,0.7,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\wind_pv_variants\high_wind_low_pv,base,1.0,1.0,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\load_scenarios\base\TRIM_input.csv
ENV_0034,1,3,1,1.0,high_wind_low_pv,1.3,0.7,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\wind_pv_variants\high_wind_low_pv,peak_plus_15pct,1.15,1.0,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\load_scenarios\peak_plus_15pct\TRIM_input.csv
ENV_0035,1,3,2,1.0,high_wind_low_pv,1.3,0.7,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\wind_pv_variants\high_wind_low_pv,extreme_plus_30pct,1.3,1.0,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\load_scenarios\extreme_plus_30pct\TRIM_input.csv
ENV_0036,1,3,3,1.0,high_wind_low_pv,1.3,0.7,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\wind_pv_variants\high_wind_low_pv,critical_stress,1.1,1.4,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\load_scenarios\critical_stress\TRIM_input.csv
ENV_0037,1,4,0,1.0,high_wind_high_pv,1.3,1.3,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\wind_pv_variants\high_wind_high_pv,base,1.0,1.0,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\load_scenarios\base\TRIM_input.csv
ENV_0038,1,4,1,1.0,high_wind_high_pv,1.3,1.3,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\wind_pv_variants\high_wind_high_pv,peak_plus_15pct,1.15,1.0,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\load_scenarios\peak_plus_15pct\TRIM_input.csv
ENV_0039,1,4,2,1.0,high_wind_high_pv,1.3,1.3,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\wind_pv_variants\high_wind_high_pv,extreme_plus_30pct,1.3,1.0,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\load_scenarios\extreme_plus_30pct\TRIM_input.csv
ENV_0040,1,4,3,1.0,high_wind_high_pv,1.3,1.3,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\wind_pv_variants\high_wind_high_pv,critical_stress,1.1,1.4,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\load_scenarios\critical_stress\TRIM_input.csv
ENV_0041,2,0,0,1.2,baseline_dpgmm,1.0,1.0,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\wind_pv_variants\baseline_dpgmm,base,1.0,1.0,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\load_scenarios\base\TRIM_input.csv
ENV_0042,2,0,1,1.2,baseline_dpgmm,1.0,1.0,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\wind_pv_variants\baseline_dpgmm,peak_plus_15pct,1.15,1.0,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\load_scenarios\peak_plus_15pct\TRIM_input.csv
ENV_0043,2,0,2,1.2,baseline_dpgmm,1.0,1.0,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\wind_pv_variants\baseline_dpgmm,extreme_plus_30pct,1.3,1.0,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\load_scenarios\extreme_plus_30pct\TRIM_input.csv
ENV_0044,2,0,3,1.2,baseline_dpgmm,1.0,1.0,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\wind_pv_variants\baseline_dpgmm,critical_stress,1.1,1.4,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\load_scenarios\critical_stress\TRIM_input.csv
ENV_0045,2,1,0,1.2,low_wind_low_pv,0.7,0.7,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\wind_pv_variants\low_wind_low_pv,base,1.0,1.0,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\load_scenarios\base\TRIM_input.csv
ENV_0046,2,1,1,1.2,low_wind_low_pv,0.7,0.7,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\wind_pv_variants\low_wind_low_pv,peak_plus_15pct,1.15,1.0,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\load_scenarios\peak_plus_15pct\TRIM_input.csv
ENV_0047,2,1,2,1.2,low_wind_low_pv,0.7,0.7,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\wind_pv_variants\low_wind_low_pv,extreme_plus_30pct,1.3,1.0,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\load_scenarios\extreme_plus_30pct\TRIM_input.csv
ENV_0048,2,1,3,1.2,low_wind_low_pv,0.7,0.7,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\wind_pv_variants\low_wind_low_pv,critical_stress,1.1,1.4,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\load_scenarios\critical_stress\TRIM_input.csv
ENV_0049,2,2,0,1.2,low_wind_high_pv,0.7,1.3,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\wind_pv_variants\low_wind_high_pv,base,1.0,1.0,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\load_scenarios\base\TRIM_input.csv
ENV_0050,2,2,1,1.2,low_wind_high_pv,0.7,1.3,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\wind_pv_variants\low_wind_high_pv,peak_plus_15pct,1.15,1.0,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\load_scenarios\peak_plus_15pct\TRIM_input.csv
ENV_0051,2,2,2,1.2,low_wind_high_pv,0.7,1.3,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\wind_pv_variants\low_wind_high_pv,extreme_plus_30pct,1.3,1.0,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\load_scenarios\extreme_plus_30pct\TRIM_input.csv
ENV_0052,2,2,3,1.2,low_wind_high_pv,0.7,1.3,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\wind_pv_variants\low_wind_high_pv,critical_stress,1.1,1.4,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\load_scenarios\critical_stress\TRIM_input.csv
ENV_0053,2,3,0,1.2,high_wind_low_pv,1.3,0.7,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\wind_pv_variants\high_wind_low_pv,base,1.0,1.0,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\load_scenarios\base\TRIM_input.csv
ENV_0054,2,3,1,1.2,high_wind_low_pv,1.3,0.7,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\wind_pv_variants\high_wind_low_pv,peak_plus_15pct,1.15,1.0,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\load_scenarios\peak_plus_15pct\TRIM_input.csv
ENV_0055,2,3,2,1.2,high_wind_low_pv,1.3,0.7,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\wind_pv_variants\high_wind_low_pv,extreme_plus_30pct,1.3,1.0,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\load_scenarios\extreme_plus_30pct\TRIM_input.csv
ENV_0056,2,3,3,1.2,high_wind_low_pv,1.3,0.7,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\wind_pv_variants\high_wind_low_pv,critical_stress,1.1,1.4,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\load_scenarios\critical_stress\TRIM_input.csv
ENV_0057,2,4,0,1.2,high_wind_high_pv,1.3,1.3,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\wind_pv_variants\high_wind_high_pv,base,1.0,1.0,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\load_scenarios\base\TRIM_input.csv
ENV_0058,2,4,1,1.2,high_wind_high_pv,1.3,1.3,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\wind_pv_variants\high_wind_high_pv,peak_plus_15pct,1.15,1.0,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\load_scenarios\peak_plus_15pct\TRIM_input.csv
ENV_0059,2,4,2,1.2,high_wind_high_pv,1.3,1.3,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\wind_pv_variants\high_wind_high_pv,extreme_plus_30pct,1.3,1.0,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\load_scenarios\extreme_plus_30pct\TRIM_input.csv
ENV_0060,2,4,3,1.2,high_wind_high_pv,1.3,1.3,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\wind_pv_variants\high_wind_high_pv,critical_stress,1.1,1.4,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\load_scenarios\critical_stress\TRIM_input.csv
ENV_0061,3,0,0,1.4,baseline_dpgmm,1.0,1.0,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\wind_pv_variants\baseline_dpgmm,base,1.0,1.0,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\load_scenarios\base\TRIM_input.csv
ENV_0062,3,0,1,1.4,baseline_dpgmm,1.0,1.0,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\wind_pv_variants\baseline_dpgmm,peak_plus_15pct,1.15,1.0,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\load_scenarios\peak_plus_15pct\TRIM_input.csv
ENV_0063,3,0,2,1.4,baseline_dpgmm,1.0,1.0,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\wind_pv_variants\baseline_dpgmm,extreme_plus_30pct,1.3,1.0,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\load_scenarios\extreme_plus_30pct\TRIM_input.csv
ENV_0064,3,0,3,1.4,baseline_dpgmm,1.0,1.0,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\wind_pv_variants\baseline_dpgmm,critical_stress,1.1,1.4,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\load_scenarios\critical_stress\TRIM_input.csv
ENV_0065,3,1,0,1.4,low_wind_low_pv,0.7,0.7,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\wind_pv_variants\low_wind_low_pv,base,1.0,1.0,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\load_scenarios\base\TRIM_input.csv
ENV_0066,3,1,1,1.4,low_wind_low_pv,0.7,0.7,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\wind_pv_variants\low_wind_low_pv,peak_plus_15pct,1.15,1.0,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\load_scenarios\peak_plus_15pct\TRIM_input.csv
ENV_0067,3,1,2,1.4,low_wind_low_pv,0.7,0.7,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\wind_pv_variants\low_wind_low_pv,extreme_plus_30pct,1.3,1.0,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\load_scenarios\extreme_plus_30pct\TRIM_input.csv
ENV_0068,3,1,3,1.4,low_wind_low_pv,0.7,0.7,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\wind_pv_variants\low_wind_low_pv,critical_stress,1.1,1.4,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\load_scenarios\critical_stress\TRIM_input.csv
ENV_0069,3,2,0,1.4,low_wind_high_pv,0.7,1.3,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\wind_pv_variants\low_wind_high_pv,base,1.0,1.0,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\load_scenarios\base\TRIM_input.csv
ENV_0070,3,2,1,1.4,low_wind_high_pv,0.7,1.3,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\wind_pv_variants\low_wind_high_pv,peak_plus_15pct,1.15,1.0,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\load_scenarios\peak_plus_15pct\TRIM_input.csv
ENV_0071,3,2,2,1.4,low_wind_high_pv,0.7,1.3,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\wind_pv_variants\low_wind_high_pv,extreme_plus_30pct,1.3,1.0,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\load_scenarios\extreme_plus_30pct\TRIM_input.csv
ENV_0072,3,2,3,1.4,low_wind_high_pv,0.7,1.3,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\wind_pv_variants\low_wind_high_pv,critical_stress,1.1,1.4,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\load_scenarios\critical_stress\TRIM_input.csv
ENV_0073,3,3,0,1.4,high_wind_low_pv,1.3,0.7,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\wind_pv_variants\high_wind_low_pv,base,1.0,1.0,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\load_scenarios\base\TRIM_input.csv
ENV_0074,3,3,1,1.4,high_wind_low_pv,1.3,0.7,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\wind_pv_variants\high_wind_low_pv,peak_plus_15pct,1.15,1.0,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\load_scenarios\peak_plus_15pct\TRIM_input.csv
ENV_0075,3,3,2,1.4,high_wind_low_pv,1.3,0.7,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\wind_pv_variants\high_wind_low_pv,extreme_plus_30pct,1.3,1.0,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\load_scenarios\extreme_plus_30pct\TRIM_input.csv
ENV_0076,3,3,3,1.4,high_wind_low_pv,1.3,0.7,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\wind_pv_variants\high_wind_low_pv,critical_stress,1.1,1.4,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\load_scenarios\critical_stress\TRIM_input.csv
