env_id,intensity_idx,wind_idx,load_idx,intensity_scale,wind_variant,wind_scale,pv_scale,uncertainty_dir,load_scenario,demand_scale,priority_stress_factor,trim_input,sample_id
ENV_0045,2,1,0,1.2,low_wind_low_pv,0.7,0.7,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\wind_pv_variants\low_wind_low_pv,base,1.0,1.0,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\load_scenarios\base\TRIM_input.csv,S0015
ENV_0051,2,2,2,1.2,low_wind_high_pv,0.7,1.3,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\wind_pv_variants\low_wind_high_pv,extreme_plus_30pct,1.3,1.0,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\load_scenarios\extreme_plus_30pct\TRIM_input.csv,S0016
ENV_0054,2,3,1,1.2,high_wind_low_pv,1.3,0.7,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\wind_pv_variants\high_wind_low_pv,peak_plus_15pct,1.15,1.0,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\load_scenarios\peak_plus_15pct\TRIM_input.csv,S0017
ENV_0060,2,4,3,1.2,high_wind_high_pv,1.3,1.3,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\wind_pv_variants\high_wind_high_pv,critical_stress,1.1,1.4,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\load_scenarios\critical_stress\TRIM_input.csv,S0018
ENV_0061,3,0,0,1.4,baseline_dpgmm,1.0,1.0,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\wind_pv_variants\baseline_dpgmm,base,1.0,1.0,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\load_scenarios\base\TRIM_input.csv,S0019
ENV_0063,3,0,2,1.4,baseline_dpgmm,1.0,1.0,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\wind_pv_variants\baseline_dpgmm,extreme_plus_30pct,1.3,1.0,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\load_scenarios\extreme_plus_30pct\TRIM_input.csv,S0020
ENV_0070,3,2,1,1.4,low_wind_high_pv,0.7,1.3,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\wind_pv_variants\low_wind_high_pv,peak_plus_15pct,1.15,1.0,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\load_scenarios\peak_plus_15pct\TRIM_input.csv,S0021
ENV_0074,3,3,1,1.4,high_wind_low_pv,1.3,0.7,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\wind_pv_variants\high_wind_low_pv,peak_plus_15pct,1.15,1.0,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\load_scenarios\peak_plus_15pct\TRIM_input.csv,S0022
ENV_0076,3,3,3,1.4,high_wind_low_pv,1.3,0.7,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\wind_pv_variants\high_wind_low_pv,critical_stress,1.1,1.4,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\load_scenarios\critical_stress\TRIM_input.csv,S0023
ENV_0077,3,4,0,1.4,high_wind_high_pv,1.3,1.3,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\wind_pv_variants\high_wind_high_pv,base,1.0,1.0,C:\Users\yuhan\Desktop\gridagent1\results\multiscenario_fusion\phase1_design\prepared\load_scenarios\base\TRIM_input.csv,S0024
