timestamp,action_type,target_type,target_id,priority,trigger_rule,recommended_action,supporting_units,risk_prob,loading,score,reason
2024-09-01 08:00:00,local_generation_support,bus_area,9,medium,vulnerable area with curtailed or fragile supply,raise nearby generation to support vulnerable area,"EMG_2,EMG_3",0.31189959719939614,1.0,0.47725351158814383,"bus 9 vulnerability=0.477, served_ratio=0.000"
2024-09-01 09:00:00,local_generation_support,bus_area,6,medium,vulnerable area with curtailed or fragile supply,raise nearby generation to support vulnerable area,"EMG_3,BOOSTER",0.31663976227156404,1.0,0.4803840355344002,"bus 6 vulnerability=0.480, served_ratio=0.000"
2024-09-01 09:00:00,local_generation_support,bus_area,7,medium,vulnerable area with curtailed or fragile supply,raise nearby generation to support vulnerable area,"EMG_2,EMG_1",0.31232166285039914,1.0,0.47687805041940157,"bus 7 vulnerability=0.477, served_ratio=0.000"
2024-09-01 09:00:00,local_generation_support,bus_area,9,medium,vulnerable area with curtailed or fragile supply,prepare nearest available generation support,"EMG_2,EMG_1",0.3036534086602919,1.0,0.4722097424065282,"bus 9 vulnerability=0.472, served_ratio=0.000"
2024-09-01 10:00:00,local_generation_support,bus_area,6,medium,vulnerable area with curtailed or fragile supply,raise nearby generation to support vulnerable area,"EMG_3,BOOSTER",0.3170680401192668,1.0,0.4805730768896747,"bus 6 vulnerability=0.481, served_ratio=0.000"
2024-09-01 10:00:00,local_generation_support,bus_area,7,medium,vulnerable area with curtailed or fragile supply,raise nearby generation to support vulnerable area,"EMG_1,EMG_2",0.3118565482407795,1.0,0.46513321814910225,"bus 7 vulnerability=0.465, served_ratio=0.000"
2024-09-01 11:00:00,reserve_hold,critical_load_bus,4,high,critical load bus with elevated outage risk,increase spinning reserve near critical load,"EMG_1,EMG_2,EMG_3",0.3093328744990732,0.5368456761423682,0.5270957801744118,critical load bus 4 loss_of_supply_score=0.527
2024-09-01 11:00:00,local_generation_support,bus_area,6,medium,vulnerable area with curtailed or fragile supply,raise nearby generation to support vulnerable area,"EMG_3,BOOSTER",0.31583201166258484,1.0,0.47974007506742095,"bus 6 vulnerability=0.480, served_ratio=0.000"
2024-09-01 12:00:00,reserve_hold,critical_load_bus,4,high,critical load bus with elevated outage risk,increase spinning reserve near critical load,"EMG_2,EMG_3",0.3085558913873301,0.6968784486733671,0.582757608159977,critical load bus 4 loss_of_supply_score=0.583
2024-09-01 12:00:00,local_generation_support,bus_area,6,medium,vulnerable area with curtailed or fragile supply,raise nearby generation to support vulnerable area,"BOOSTER,TH0",0.31434289435369595,1.0,0.4787793681652098,"bus 6 vulnerability=0.479, served_ratio=0.000"
2024-09-01 13:00:00,reserve_hold,critical_load_bus,4,high,critical load bus with elevated outage risk,increase spinning reserve near critical load,"EMG_3,EMG_2,EMG_1",0.13530683943202626,0.8025307606080684,0.5417738439572357,critical load bus 4 loss_of_supply_score=0.542
2024-09-01 13:00:00,local_generation_support,bus_area,6,medium,vulnerable area with curtailed or fragile supply,raise nearby generation to support vulnerable area,"EMG_3,EMG_2",0.31208937528575015,1.0,0.47737042024870624,"bus 6 vulnerability=0.477, served_ratio=0.000"
2024-09-01 14:00:00,reserve_hold,critical_load_bus,5,high,critical load bus with elevated outage risk,increase spinning reserve near critical load,"EMG_1,EMG_3",0.3053000834547709,0.9695926692598991,0.6767424717956116,critical load bus 5 loss_of_supply_score=0.677
2024-09-01 14:00:00,local_generation_support,bus_area,5,high,vulnerable area with curtailed or fragile supply,raise nearby generation to support vulnerable area,"EMG_1,EMG_3",0.3053000834547709,0.9695926692598991,0.5177848619416793,"bus 5 vulnerability=0.518, served_ratio=0.030"
2024-09-01 15:00:00,reserve_hold,critical_load_bus,4,high,critical load bus with elevated outage risk,increase spinning reserve near critical load,"EMG_1,EMG_3",0.06768097945806736,1.0,0.5804564407561303,critical load bus 4 loss_of_supply_score=0.580
2024-09-01 16:00:00,reserve_hold,critical_load_bus,1,high,critical load bus with elevated outage risk,increase spinning reserve near critical load,,0.06508824414266216,1.0,0.579289709864198,critical load bus 1 loss_of_supply_score=0.579
2024-09-01 18:00:00,reserve_hold,critical_load_bus,1,high,critical load bus with elevated outage risk,increase spinning reserve near critical load,,0.058220329075738576,0.9124002980391224,0.5455392523977751,critical load bus 1 loss_of_supply_score=0.546
2024-09-01 19:00:00,reserve_hold,critical_load_bus,5,high,critical load bus with elevated outage risk,increase spinning reserve near critical load,,0.05848190307490617,1.0,0.5763168563837078,critical load bus 5 loss_of_supply_score=0.576
2024-09-01 20:00:00,reserve_hold,critical_load_bus,3,high,critical load bus with elevated outage risk,increase spinning reserve near critical load,,0.05262982120574593,1.0,0.5736834195425857,critical load bus 3 loss_of_supply_score=0.574
2024-09-01 21:00:00,reserve_hold,critical_load_bus,1,high,critical load bus with elevated outage risk,increase spinning reserve near critical load,,0.05289995943665558,1.0,0.573804981746495,critical load bus 1 loss_of_supply_score=0.574
2024-09-01 22:00:00,reserve_hold,critical_load_bus,1,high,critical load bus with elevated outage risk,increase spinning reserve near critical load,,0.05031431609464761,1.0,0.5726414422425914,critical load bus 1 loss_of_supply_score=0.573
